Código,Departamento,Classe,Produto,Tipo,Embalagem,Preço (R$)
2394,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE LUZ - PVC - FUNDO MÓVEL DUPLO ( FMD ) VERDE,RIB. FABRIL,45 un.,"4,20"
2393,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE LUZ - PVC - FUNDO MÓVEL SIMPLES ( FMS ) VERDE,RIB. FABRIL,90 un.,"3,90"
8091,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE LUZ - PVC - FUNDO MÓVEL SIMPLES ( FMS ) VERDE C/SUPORTE P/LAJE,RIB. FABRIL,1 un.,"8,30"
2390,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE LUZ 2x4 - PVC - COR VERDE,RIB. FABRIL,180 un.,"1,57"
5640,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE LUZ 2x4 - PVC - COR VERDE DRYWALL C/10 UNDS,RIB. FABRIL,12 un.,"19,60"
2391,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE LUZ 3x3 - PVC - COR VERDE,RIBEIRO FABRIL,60 un.,"2,40"
6111,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE LUZ 4x4 - PVC - COR VERDE DRYWALL C/10 UNDS,RIB. FABRIL,80 un.,"39,80"
2392/7227,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE LUZ 4x4 - PVC - COR VERDE OU PRETA DA PIAL,RIB. FABRIL,90 un.,"3,60"
7431,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM DE EMBUTIR PVC 10 x 10 C/TAMPA CINZA,J A,1 un.,"6,30"
6530,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM DE EMBUTIR PVC 15 x 15 C/TAMPA BRANCA,TAF,20 un.,"14,70"
2984,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM DE EMBUTIR PVC 15 x 15 C/TAMPA CINZA,J A,1 un.,"8,70"
27,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM DE EMBUTIR CHAPA 15 x 15,PALOMAR,40 un.,"21,40"
28,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM DE EMBUTIR CHAPA 20 x 20,PALOMAR,10 un.,"33,80"
6470,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM DE EMBUTIR CHAPA 40 x 40,PALOMAR,1 un.,"116,00"
7721,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM DE EMBUTIR PVC 20 x 20 Branca,BIKI,1 un.,"36,80"
8008,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM DE EMBUTIR PVC 20 x 20 CINZA,RCA,1 un.,"17,95"
5395,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM EXTERNA 15 x 15 x 8 PVC BRANCA,PERLEX,1 un.,"17,90"
7696,Materiais Elétricos PAMPULHA,Materiais Elétricos e Ferramentas,CAIXA DE PASSAGEM EXTERNA 22 x 18 x 8 PVC BRANCA,PERLEX,1 un.,"31,70"
